2023-10-10 12:45:12
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
0.00015,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
0.0003,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
0.00045,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
0.0006,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
0.0007499999999999999,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
0.0009,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
0.00105,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
0.0012,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
0.0013499999999999999,0.0005,images/tneg0.4.png,10.6923795,0.0009702703720508167
2023-10-10 12:48:26
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.00015,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
0.0003,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
0.00045,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
0.0006,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
0.0007499999999999999,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
0.0008999999999999999,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
0.00105,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
0.0012,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
0.0013499999999999999,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
0.0014999999999999998,0.00075,images/2D wide border (93 microns)/2Dtneg0.4.png,3.0,0.0002722323049001815
2023-10-10 12:49:12
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.00015,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
0.0003,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
0.00045,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
0.0006,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
0.0007499999999999999,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
0.0008999999999999999,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
0.00105,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
0.0012,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
0.0013499999999999999,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
0.0014999999999999998,0.001,images/2D wide border (93 microns)/2Dtneg0.2.png,3.0,0.0002722323049001815
2023-10-10 12:50:09
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.00015,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
0.0003,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
0.00045,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
0.0006,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
0.0007499999999999999,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
0.0008999999999999999,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
0.00105,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
0.0012,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
0.0013499999999999999,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
0.0014999999999999998,0.00125,images/2D wide border (93 microns)/2Dt0.png,3.0,0.0002722323049001815
2023-10-10 12:50:47
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.00015,0.0015,images/2D wide border (93 microns)/2Dt0.2.png,3.0,0.0002722323049001815
