2023-07-11 14:43:11
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,0.05,4.537205081669692e-06
0.00015,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,0.25,2.2686025408348456e-05
0.0003,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,0.5,4.537205081669691e-05
0.00045,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,0.75,6.805807622504538e-05
0.0006,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,1.0,9.074410163339382e-05
0.0007499999999999999,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,1.25,0.00011343012704174228
0.0009,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,1.5,0.00013611615245009076
0.00105,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,2.0,0.00018148820326678765
0.0012,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,2.5,0.00022686025408348456
0.0013499999999999999,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,3.0,0.0002722323049001815
0.0014999999999999998,0.0005,images/Madeleine holes/topograt/horizontal/-4grath.png,5.0,0.00045372050816696913
2023-07-11 14:50:10
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.0001,9.074410163339384e-09
0.00015,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.0005,4.537205081669691e-08
0.0003,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.001,9.074410163339383e-08
0.00045,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.0015,1.3611615245009075e-07
0.0006,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.002,1.8148820326678765e-07
0.0007499999999999999,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.0025,2.2686025408348458e-07
0.0009,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.003,2.722323049001815e-07
0.00105,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.004,3.629764065335753e-07
0.0012,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.005,4.5372050816696915e-07
0.0013499999999999999,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.006,5.44464609800363e-07
0.0014999999999999998,0.00075,images/Madeleine holes/topograt/horizontal/-4grath.png,0.01,9.074410163339383e-07
2023-07-11 14:50:24
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.0001,9.074410163339384e-09
0.00015,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.0005,4.537205081669691e-08
0.0003,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.001,9.074410163339383e-08
0.00045,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.0015,1.3611615245009075e-07
0.0006,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.002,1.8148820326678765e-07
0.0007499999999999999,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.0025,2.2686025408348458e-07
0.0009,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.003,2.722323049001815e-07
0.00105,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.004,3.629764065335753e-07
0.0012,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.005,4.5372050816696915e-07
0.0013499999999999999,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.006,5.44464609800363e-07
0.0014999999999999998,0.001,images/Madeleine holes/topograt/horizontal/-3grath.png,0.01,9.074410163339383e-07
2023-07-11 14:50:37
x,y,image_filename,exposure_time,black_pixel_dwell_time
